Brain - Cortex;Brain - Cerebellum;Brain - Frontal Cortex (BA9);Brain - Caudate (basal ganglia);Brain - Nucleus accumbens (basal ganglia);Brain - Putamen (basal ganglia);Brain - Hypothalamus;Brain - Spinal cord (cervical c-1);Brain - Hippocampus;Brain - Anterior cingulate cortex (BA24);Brain - Cerebellar Hemisphere;Brain - Substantia nigra;Brain - Amygdala
241;464;237;91;90;44;111;243;47;91;451;81;37
235;450;229;94;86;41;126;248;51;77;436;103;42
247;459;265;88;85;49;122;237;42;79;446;87;42
233;439;253;81;80;41;114;252;49;87;439;102;46
225;454;233;95;84;50;107;246;50;65;441;106;40
240;455;230;85;74;39;114;247;55;75;442;96;40
247;455;263;82;77;48;113;238;48;87;448;90;38
229;462;240;80;84;44;117;252;48;70;451;100;40
245;463;250;93;85;47;125;245;47;82;462;87;34
247;439;242;95;96;49;127;239;52;87;431;108;40
234;457;235;85;79;43;123;257;49;67;449;96;41
242;447;256;93;77;43;116;242;49;90;438;98;38
254;451;256;79;82;39;132;246;53;89;431;92;42
244;438;248;93;94;43;129;250;52;87;425;101;38
236;459;239;69;69;35;114;250;40;77;448;94;30
241;432;222;103;91;51;129;236;59;84;415;106;30
220;448;225;95;91;53;135;249;58;90;435;88;47
224;446;239;94;83;41;111;251;47;71;437;95;41
246;455;254;80;79;38;107;241;49;81;445;91;35
225;444;239;86;87;49;127;261;61;79;433;103;40
229;451;228;82;74;35;117;258;57;74;435;106;36
240;460;243;86;81;42;111;235;52;85;445;87;36
252;447;252;97;98;40;117;225;56;93;439;92;47
252;446;247;90;102;55;126;242;54;84;432;97;39
214;437;247;92;85;44;128;269;52;87;430;102;40
238;455;249;84;94;38;132;239;50;92;442;97;35
259;446;269;86;85;44;129;225;54;87;442;94;37
250;436;256;107;100;54;123;237;55;82;431;93;33
228;467;233;78;77;37;114;257;55;69;445;105;35
237;461;242;87;95;43;111;239;48;74;449;100;45
254;444;243;97;104;45;117;239;56;93;427;92;42
243;455;246;84;86;40;112;232;50;85;451;84;43
239;448;244;85;82;38;113;247;64;84;440;102;42
219;447;240;84;86;46;135;246;56;76;446;98;38
237;438;264;88;83;44;125;239;49;90;430;95;42
235;449;241;85;89;39;130;256;54;90;443;88;41
251;432;240;105;95;46;123;236;53;87;423;100;43
233;431;254;96;92;60;134;255;61;82;425;106;45
232;457;220;82;77;40;119;254;57;72;446;98;35
232;471;240;90;82;48;121;235;42;79;449;95;44
249;451;249;85;78;43;121;224;51;89;435;91;42
236;448;251;92;82;43;121;238;47;82;442;94;42
237;437;226;105;106;51;122;240;52;87;425;93;42
252;454;262;87;79;39;120;238;55;82;443;99;37
244;448;247;87;71;43;113;250;48;80;440;87;40
243;447;237;100;88;50;126;245;50;82;435;103;37
222;438;228;89;84;44;110;270;45;70;433;92;39
